Team,Team URL,Record,PF,PA,Overall PFF Grade,Offense PFF Grade,Pass PFF Grade,Pass Blocking PFF Grade,Receiving PFF Grade,Running PFF Grade,Run Blocking PFF Grade,Defense PFF Grade,Run Defense PFF Grade,Tackling PFF Grade,Pass Rush PFF Grade,Coverage PFF Grade,Special Teams PFF Grade
Arizona Cardinals,https://premium.pff.com/nfl/teams/2025/REGPO/arizona-cardinals/schedule,3 - 14,355,488,67.1,70.4,70.4,60.5,74.2,75.6,55.3,50.7,46,28.6,62.1,44.6,80
Atlanta Falcons,https://premium.pff.com/nfl/teams/2025/REGPO/atlanta-falcons/schedule,8 - 9,353,401,78.3,75.6,67.4,68.2,74.1,84.8,71,65.7,60.7,58.4,72.1,57.7,57.1
Baltimore Ravens,https://premium.pff.com/nfl/teams/2025/REGPO/baltimore-ravens/schedule,8 - 9,424,398,80.3,75.7,68.7,62.8,73.8,84.8,71.9,69.8,72.2,66.7,62,70.3,75.4
Buffalo Bills,https://premium.pff.com/nfl/teams/2025/REGPO/buffalo-bills/schedule,13 - 6,538,422,86.1,83.3,85,72.3,74.9,90.4,75.1,60.8,50.9,29.3,76.4,55.2,88
Carolina Panthers,https://premium.pff.com/nfl/teams/2025/REGPO/carolina-panthers/schedule,8 - 10,342,414,73.5,72.4,67.7,67.4,66.7,76.7,75.7,60.4,59,51.3,60.5,59.3,78.5
Chicago Bears,https://premium.pff.com/nfl/teams/2025/REGPO/chicago-bears/schedule,12 - 7,489,462,83.3,79.8,72.6,73.1,75.2,90.2,75.3,61.6,60.3,63.6,65.5,56.9,87.7
Cincinnati Bengals,https://premium.pff.com/nfl/teams/2025/REGPO/cincinnati-bengals/schedule,6 - 11,414,492,76.3,76.2,79.5,61.1,80.2,77.1,55.8,52.6,45.3,29.5,62.9,48.9,90.6
Cleveland Browns,https://premium.pff.com/nfl/teams/2025/REGPO/cleveland-browns/schedule,5 - 12,279,379,72.3,55.6,46.2,49.7,60.9,69.5,55.4,84.5,81.3,62.9,89,71.8,90.8
Dallas Cowboys,https://premium.pff.com/nfl/teams/2025/REGPO/dallas-cowboys/schedule,7 - 9 - 1,471,511,79,79.5,83.9,53.7,81.7,76.2,71.4,52.8,53.1,40,74,30.9,76.1
Denver Broncos,https://premium.pff.com/nfl/teams/2025/REGPO/denver-broncos/schedule,15 - 4,441,351,88.4,75.2,73.9,79,67.6,77.9,72,80.2,79.4,58.6,76.9,77.6,76.4
Detroit Lions,https://premium.pff.com/nfl/teams/2025/REGPO/detroit-lions/schedule,9 - 8,481,413,93.3,82.8,77,63,89.1,79.2,69.8,81.8,78.5,74.7,82.3,74,90.5
Green Bay Packers,https://premium.pff.com/nfl/teams/2025/REGPO/green-bay-packers/schedule,9 - 8 - 1,418,391,85.1,79.8,88.8,63.9,80.8,82.8,59.2,69.4,59.4,81.3,76.4,69.9,79.2
Houston Texans,https://premium.pff.com/nfl/teams/2025/REGPO/houston-texans/schedule,13 - 6,450,329,89.6,72.4,64.2,63.2,77,79.3,61.4,85.7,73.1,47.9,90,85.1,86.6
Indianapolis Colts,https://premium.pff.com/nfl/teams/2025/REGPO/indianapolis-colts/schedule,8 - 9,466,412,80.9,80.1,65.1,74.6,79.9,84.3,76,57.3,61.1,59.4,68,39.2,86.8
Jacksonville Jaguars,https://premium.pff.com/nfl/teams/2025/REGPO/jacksonville-jaguars/schedule,13 - 5,498,363,87.4,76.7,80.7,71.6,74.6,75.9,66.3,75.4,71.5,71.1,67.6,80.5,77.3
Kansas City Chiefs,https://premium.pff.com/nfl/teams/2025/REGPO/kansas-city-chiefs/schedule,6 - 11,362,328,83.1,71.4,65.5,71.5,72,77.3,62.2,78.2,75.7,67.8,70.3,81.4,88.5
Las Vegas Raiders,https://premium.pff.com/nfl/teams/2025/REGPO/las-vegas-raiders/schedule,3 - 14,241,432,58.7,64.4,57.1,56.9,71.5,68.1,53,49.1,49.5,30.3,65.5,33.3,58.3
Los Angeles Chargers,https://premium.pff.com/nfl/teams/2025/REGPO/los-angeles-chargers/schedule,11 - 7,371,356,74.4,65.2,67.4,50.5,72.3,90,37.7,73.3,70.4,37.1,67.9,77,70.3
Los Angeles Rams,https://premium.pff.com/nfl/teams/2025/REGPO/los-angeles-rams/schedule,14 - 6,599,425,96,93,91.7,64.6,91.1,88.7,87.8,86.8,81.1,47.1,83.7,85.6,76.7
Miami Dolphins,https://premium.pff.com/nfl/teams/2025/REGPO/miami-dolphins/schedule,7 - 10,347,424,70.5,69.4,59.1,54.9,77.1,85.2,55.5,58.9,65.6,40.2,57.1,49.7,70.9
Minnesota Vikings,https://premium.pff.com/nfl/teams/2025/REGPO/minnesota-vikings/schedule,9 - 8,344,333,77.9,68.2,47.6,69.1,71.5,82.6,67.8,68.3,68.5,41.5,73.8,56.9,91.1
New England Patriots,https://premium.pff.com/nfl/teams/2025/REGPO/new-england-patriots/schedule,17 - 4,557,375,91.5,80.2,75.7,71.4,84.6,79.7,61.9,76.8,61.9,65.5,71,90,83.5
New Orleans Saints,https://premium.pff.com/nfl/teams/2025/REGPO/new-orleans-saints/schedule,6 - 11,306,383,74.3,67.8,71.5,64.9,72.4,68.8,49.8,71,69.4,39.9,66.6,73,73.1
New York Giants,https://premium.pff.com/nfl/teams/2025/REGPO/new-york-giants/schedule,4 - 13,381,439,69.7,68.9,66.2,71.1,65.5,84.3,61.2,59.7,44.2,50.5,74.9,57.5,80.6
New York Jets,https://premium.pff.com/nfl/teams/2025/REGPO/new-york-jets/schedule,3 - 14,300,503,66.9,62.6,51.1,68.3,60.3,79.6,59.7,56.8,65.8,39.8,64.4,32.2,90.6
Philadelphia Eagles,https://premium.pff.com/nfl/teams/2025/REGPO/philadelphia-eagles/schedule,11 - 7,398,348,86.4,77.7,75.5,74.1,73.7,81.2,70,74.6,69.9,40.9,79,65.4,81
