Player Name,Player Profile URL,Team Abbreviation,Overall Grade,Passing Grade,Running Grade,Snaps Played
Matthew Stafford,https://www.pff.com/#,LA,91.9,91.7,37.4,1331
Joe Burrow,https://www.pff.com/#,CIN,91.8,91.3,59,478
Josh Allen,https://www.pff.com/#,BUF,90.5,84,90.8,1175
Jordan Love,https://www.pff.com/#,GB,88.8,88.7,54.5,965
Dak Prescott,https://www.pff.com/#,DAL,86.9,85.4,61.3,1135
Brock Purdy,https://www.pff.com/#,SF,85.4,82.6,75.7,686
Trevor Lawrence,https://www.pff.com/#,JAX,83.7,80.5,77.4,1168
Drake Maye,https://www.pff.com/#,NE,80.7,76.6,79.7,1313
Sam Darnold,https://www.pff.com/#,SEA,79,79.9,41.6,1211
Jalen Hurts,https://www.pff.com/#,PHI,78.7,76.4,71.6,1037
Justin Herbert,https://www.pff.com/#,LAC,78,73,82.7,1102
Jared Goff,https://www.pff.com/#,DET,77.7,76.8,52.6,1084
Bo Nix,https://www.pff.com/#,DEN,77.1,76.1,65.3,1209
Caleb Williams,https://www.pff.com/#,CHI,76.9,72.2,82.1,1302
Mac Jones,https://www.pff.com/#,SF,76.7,75.4,66.9,554
Kirk Cousins,https://www.pff.com/#,LV,76,75,66.3,543
Patrick Mahomes,https://www.pff.com/#,KC,76,70.7,86.7,934
Jayden Daniels,https://www.pff.com/#,WAS,74.9,73.8,65.6,405
Tyler Shough,https://www.pff.com/#,NO,74.6,73.1,64.8,605
Lamar Jackson,https://www.pff.com/#,BLT,74,69,78.6,702
Daniel Jones,https://www.pff.com/#,IND,71.7,68.7,73.7,756
Marcus Mariota,https://www.pff.com/#,WAS,71.4,72.3,55.8,510
Bryce Young,https://www.pff.com/#,CAR,71,68.2,72.6,1030
Jacoby Brissett,https://www.pff.com/#,ARZ,70.6,68.6,68.9,812
Spencer Rattler,https://www.pff.com/#,NO,70,66.1,76.9,490
Baker Mayfield,https://www.pff.com/#,TB,70,64.8,86.8,1100
Jaxson Dart,https://www.pff.com/#,NYG,68.4,64.8,76.9,774
Joe Flacco,https://www.pff.com/#,CIN,68,66.8,76.1,689
Aaron Rodgers,https://www.pff.com/#,PIT,68,68.8,42.7,969
Justin Fields,https://www.pff.com/#,KC,67.3,65.5,65.8,499
C.J. Stroud,https://www.pff.com/#,HST,65,62,73.2,1011
Tua Tagovailoa,https://www.pff.com/#,ATL,62.1,65.8,27,776
J.J. McCarthy,https://www.pff.com/#,MIN,61.8,60.1,71.6,523
Geno Smith,https://www.pff.com/#,NYJ,60.9,58.2,70.3,862
Michael Penix Jr.,https://www.pff.com/#,ATL,59.3,58,66.2,553
Cam Ward,https://www.pff.com/#,TEN,58.5,56.4,70.1,1006
Dillon Gabriel,https://www.pff.com/#,CLV,49,49.6,58.8,372
Shedeur Sanders,https://www.pff.com/#,CLV,44.1,42.3,67.9,428
